Date,Open,High,Low,Close,Volume,Adj Close
"Nov 23, 2010",11177.60,11177.60,10968.78,11036.37,4133070000,11036.37
"Nov 22, 2010",11201.59,11213.92,11044.39,11178.58,3689500000,11178.58
"Nov 19, 2010",11180.77,11238.52,11096.92,11203.55,3675390000,11203.55
"Nov 18, 2010",11010.49,11234.74,11010.49,11181.23,4687260000,11181.23
"Nov 17, 2010",11017.83,11091.69,10947.52,11007.88,3904780000,11007.88
"Nov 16, 2010",11194.70,11194.70,10949.86,11023.50,5116380000,11023.50
"Nov 15, 2010",11194.02,11314.36,11149.97,11201.97,3503370000,11201.97
"Nov 12, 2010",11281.28,11307.69,11114.10,11192.58,4213620000,11192.58
"Nov 11, 2010",11326.69,11350.30,11175.17,11283.10,3931120000,11283.10
"Nov 10, 2010",11342.81,11395.37,11239.69,11357.04,4561300000,11357.04
"Nov 9, 2010",11403.51,11453.01,11293.35,11346.75,4848040000,11346.75
"Nov 8, 2010",11439.61,11454.44,11324.27,11406.84,3937230000,11406.84
"Nov 5, 2010",11435.30,11505.83,11336.15,11444.08,5637460000,11444.08
"Nov 4, 2010",11216.65,11481.01,11216.65,11434.84,5695470000,11434.84
"Nov 3, 2010",11184.80,11261.23,11088.74,11215.13,4665480000,11215.13
"Nov 2, 2010",11125.30,11266.26,11125.30,11188.72,3866200000,11188.72
"Nov 1, 2010",11120.30,11257.59,11053.29,11124.62,4129180000,11124.62
"Oct 29, 2010",11120.45,11178.43,11028.08,11118.40,3537880000,11118.40
"Oct 28, 2010",11127.34,11217.33,11033.87,11113.95,4283460000,11113.95
"Oct 27, 2010",11168.40,11172.83,10986.68,11126.28,4335670000,11126.28
"Oct 26, 2010",11163.06,11221.04,11055.48,11169.46,4203680000,11169.46
"Oct 25, 2010",11133.40,11266.30,11127.27,11164.05,4221380000,11164.05
"Oct 22, 2010",11146.41,11192.09,11071.22,11132.56,3177890000,11132.56
"Oct 21, 2010",11105.24,11249.57,11038.79,11146.57,4625470000,11146.57
"Oct 20, 2010",10974.52,11176.08,10969.47,11107.97,5027880000,11107.97
"Oct 19, 2010",11139.60,11139.60,10897.57,10978.62,5600120000,10978.62
"Oct 18, 2010",11062.71,11184.86,11021.46,11143.69,4450050000,11143.69
"Oct 15, 2010",11096.01,11172.07,10985.28,11062.78,5724910000,11062.78
"Oct 14, 2010",11096.92,11148.15,10996.71,11096.92,4969410000,11096.92
"Oct 13, 2010",11022.82,11187.77,11014.19,11096.08,4969410000,11096.08
"Oct 12, 2010",11010.79,11064.68,10890.76,11020.40,4076170000,11020.40
"Oct 11, 2010",11006.93,11068.54,10956.26,11010.34,3118110000,11010.34
"Oct 8, 2010",10948.50,11055.29,10901.12,11006.48,3871420000,11006.48
"Oct 7, 2010",10968.41,11032.17,10878.04,10948.58,3910550000,10948.58
"Oct 6, 2010",10936.79,11015.86,10880.08,10967.65,4073160000,10967.65
"Oct 5, 2010",10752.63,10982.98,10752.63,10944.72,4068840000,10944.72
"Oct 4, 2010",10828.85,10875.54,10682.66,10751.27,3604110000,10751.27
"Oct 1, 2010",10789.72,10907.41,10759.14,10829.68,4298910000,10829.68
"Sep 30, 2010",10835.96,10960.99,10732.27,10788.05,4284160000,10788.05
"Sep 29, 2010",10857.98,10901.96,10759.75,10835.28,3990280000,10835.28
"Sep 28, 2010",10809.85,10905.44,10714.03,10858.14,4025840000,10858.14
"Sep 27, 2010",10860.03,10902.52,10776.44,10812.04,3587860000,10812.04
"Sep 24, 2010",10664.39,10897.83,10664.39,10860.26,4123950000,10860.26
"Sep 23, 2010",10738.48,10779.65,10610.12,10662.42,3847850000,10662.42
"Sep 22, 2010",10761.11,10829.75,10682.40,10739.31,3911070000,10739.31
"Sep 21, 2010",10753.39,10844.89,10674.83,10761.03,4175660000,10761.03
"Sep 20, 2010",10608.08,10783.51,10594.38,10753.62,3364080000,10753.62
"Sep 17, 2010",10595.44,10689.29,10529.67,10607.85,4086140000,10607.85
"Sep 16, 2010",10571.75,10624.58,10499.43,10594.83,3364080000,10594.83
"Sep 15, 2010",10526.42,10609.21,10453.15,10572.73,3369840000,10572.73
"Sep 14, 2010",10544.81,10622.69,10460.34,10526.49,4521050000,10526.49
"Sep 13, 2010",10458.60,10605.73,10458.45,10544.13,4521050000,10544.13
"Sep 10, 2010",10415.01,10502.80,10376.34,10462.77,3061160000,10462.77
"Sep 9, 2010",10388.22,10515.86,10359.23,10415.24,3387770000,10415.24
"Sep 8, 2010",10338.57,10460.50,10318.93,10387.01,3224640000,10387.01
"Sep 7, 2010",10446.80,10448.99,10304.44,10340.69,3107380000,10340.69
"Sep 3, 2010",10321.92,10484.71,10321.92,10447.93,3534500000,10447.93
"Sep 2, 2010",10270.08,10350.98,10211.80,10320.10,3704210000,10320.10
"Sep 1, 2010",10016.01,10305.87,10016.01,10269.47,4396880000,10269.47
"Aug 31, 2010",10006.42,10101.53,9915.73,10014.72,4038770000,10014.72
"Aug 30, 2010",10145.58,10170.10,10005.56,10009.73,2917990000,10009.73
